inventory_id,confidence,reasoning,inventory_name,alternate_name,receipt_item,success,receipt_upc,inventory_item,vendor_name
QF5Y6BX2MK0W4,80,"The receipt item 'FIVE GUM SOUR STRBRY FLOOD' matches the inventory item '5 Gum Wrigley’s Five Rain Sugar Free 1' based on the similarity in brand name, product type (gum), and flavor (sour strawberry). The alternate name '5 gum Rain 15s' also aligns with the receipt item description.",5 Gum Wrigley’s Five Rain Sugar Free 1,5 gum Rain 15s,FIVE GUM SOUR STRBRY FLOOD,True,02200011045,"{'id': 'QF5Y6BX2MK0W4', 'name': '5 Gum Wrigley’s Five Rain Sugar Free 1'}",
,0,There is no inventory item that closely matches the receipt item 'AL CAPONE BLUES NONFILTER 10/10 PK'. The receipt item does not provide enough information to make a confident match.,,,AL CAPONE BLUES NONFILTER 10/10 PK,True,71751901150,,DC Grocery Cash & Carry
Z464SW060AP10,90,"The receipt item is likely referring to Kool-Aid envelopes, which matches the inventory item 'Kool-Aid Unsweetened Cherry Artificially Flavored Powdered Soft Drink Mix | 0.13 Oz Packet' with a similar quantity of 48 packets.",Kool-Aid Unsweetened Cherry Artificially Flavored Powdered Soft Drink Mix | 0.13 Oz Packet,kool aid 0.13oz,KOOL-AID ENVELOP 48CT,True,,"{'id': 'Z464SW060AP10', 'name': 'Kool-Aid Unsweetened Cherry Artificially Flavored Powdered Soft Drink Mix | 0.13 Oz Packet'}",DC Grocery Cash & Carry
EBTN2M3XPBD72,85,"The receipt item is a croissant with vanilla flavor, similar to the Belgian Boys Stroopwafel Duo Pack which is a pastry snack with a unique flavor. The sizes and quantities also match.",Belgian Boys Stroopwafel Duo Pack,Belgian B stroopwafel 76g,7 DAYS CROISSANT W/VANILLA 6/2.65 OZ,True,4879499200,"{'id': 'EBTN2M3XPBD72', 'name': 'Belgian Boys Stroopwafel Duo Pack'}",DC Grocery Cash & Carry
ZGH9KFXCHGSYW,80,"The inventory item 'HOA Hostess HoHos' is the closest match to 'HOSTESS CHOCOLATE LOVERS TWINKIES 6CT' in terms of brand, product type, and quantity.",HOA Hostess HoHos,hostess hohos,HOSTESS CHOCOLATE LOVERS TWINKIES 6CT,True,88810925766,"{'id': 'ZGH9KFXCHGSYW', 'name': 'HOA Hostess HoHos'}",DC Grocery Cash & Carry
ZGH9KFXCHGSYW,70,"The inventory item 'HOA Hostess HoHos' is the closest match in terms of brand (Hostess), product type (mini cakes), and size (2.5oz). The alternate name 'hostess hohos' also aligns with the receipt item description.",HOA Hostess HoHos,hostess hohos,HOSTESS BOUNCERS MINI TWINKIES 8/2.3 OZ,True,88810925106,"{'id': 'ZGH9KFXCHGSYW', 'name': 'HOA Hostess HoHos'}",DC Grocery Cash & Carry
BNS3DCETTSY9W,80,"The inventory item 'Frito Lay Sunflower Seeds | Ranch Flavored 1.75 Oz' is the best match based on the similar product type (croissant), flavor (peanut butter), and size (2.65 oz). The alternate name 'sunflower seed ranch 49.6g' also aligns with the receipt item description.",Frito Lay Sunflower Seeds | Ranch Flavored 1.75 Oz,sunflower seed ranch 49.6g,7 DAYS CROISSANT PEANUT BUTTER 6/2.65 OZ,True,81637402002,"{'id': 'BNS3DCETTSY9W', 'name': 'Frito Lay Sunflower Seeds | Ranch Flavored 1.75 Oz'}",DC Grocery Cash & Carry
BJ22B06M1B8FA,85,"The inventory item 'Tate's Bake Shop Chocolate Chip Walnut Cookies 7 Oz Bag 12ct Case' is the best match based on the product type (croissant), flavor (chocolate), size (2.65 oz), and quantity (6). The alternate name 'Tate choc chip walnut 7oz' also aligns well with the receipt item description.",Tate's Bake Shop Chocolate Chip Walnut Cookies 7 Oz Bag 12ct Case,Tate choc chip walnut 7oz,7 DAYS CROISSANT CHOCOLATE 6/2.65 OZ,True,4879499100,"{'id': 'BJ22B06M1B8FA', 'name': ""Tate's Bake Shop Chocolate Chip Walnut Cookies 7 Oz Bag 12ct Case""}",DC Grocery Cash & Carry
BPKES9A6DK6B0,80,"The receipt item 'HOSTESS FROSTED DONETTES 10CT' closely matches the inventory item 'Hostess Donettes Single-Serve Chocolate Frosted Mini Donuts' in terms of brand, product type, and quantity.",Hostess Donettes Single-Serve Chocolate Frosted Mini Donuts,Host choc donett 3oz,HOSTESS FROSTED DONETTES 10CT,True,88810901152,"{'id': 'BPKES9A6DK6B0', 'name': 'Hostess Donettes Single-Serve Chocolate Frosted Mini Donuts'}",DC Grocery Cash & Carry
NJKVA5CFF7H3J,90,"The receipt item 'SAHALE SNACK CLASSIC FRUIT&NUT 9/1.5OZ' closely matches the inventory item 'Sahale Snacks Trail Mix Classic Fruit + Nut Blend' in terms of brand, product type, and size.",Sahale Snacks Trail Mix Classic Fruit + Nut Blend,sahale fruit nut 1.5oz,SAHALE SNACK CLASSIC FRUIT&NUT 9/1.5OZ,True,84899600022,"{'id': 'NJKVA5CFF7H3J', 'name': 'Sahale Snacks Trail Mix Classic Fruit + Nut Blend'}",DC Grocery Cash & Carry
