inventory_id,confidence,reasoning,inventory_name,alternate_name,receipt_item,success,receipt_upc,inventory_item,vendor_name
7XCMV968CRESA,80,The receipt item mentions 'HEINKEN' which is similar to 'Red Stripe Beer' in terms of being a beer brand. The quantities and sizes also match with 'Red Stripe Beer' being sold in a 6 pack of 11.2oz bottles.,Red Stripe Beer,Red stripe 6/11.2oz,HEINKEN 4/6/12 OZ BTL,True,7289000021,"{'id': '7XCMV968CRESA', 'name': 'Red Stripe Beer'}",DC Grocery Cash & Carry
YGH49A30FYCRW,80,"The inventory item 'Gatorade Frost Glacier Freeze Thirst Quencher 28 Fl Oz' is the closest match in terms of brand, product type, size, and quantity to the receipt item 'GATORADE 15/28 OZ'. The alternate name 'gato breeze 28oz' also aligns well with the receipt item description.",Gatorade Frost Glacier Freeze Thirst Quencher 28 Fl Oz,gato breeze 28oz,GATORADE 15/28 OZ,True,GA28,"{'id': 'YGH49A30FYCRW', 'name': 'Gatorade Frost Glacier Freeze Thirst Quencher 28 Fl Oz'}",DC Grocery Cash & Carry
60X2V3D85NNY2,90,"The receipt item 'FOCO COCONUT JC 24/17.6 OZ' matches the inventory item 'Foco Juice Coconut' based on the brand name 'Foco', product type 'Coconut Juice', and size '17.6 oz'. The alternate name 'Foco coconut juice 17.6oz' also aligns well.",Foco Juice Coconut,Foco coconut juice 17.6oz,FOCO COCONUT JC 24/17.6 OZ,True,8.85E+12,"{'id': '60X2V3D85NNY2', 'name': 'Foco Juice Coconut'}",DC GROCERY CASH & CARRY
QF5Y6BX2MK0W4,80,"The receipt item 'FIVE GUM SOUR STRBRY FLOOD' matches the inventory item '5 Gum Wrigley’s Five Rain Sugar Free 1' based on the similarity in brand name, product type (gum), and flavor (sour strawberry). The alternate name '5 gum Rain 15s' also aligns with the receipt item.",5 Gum Wrigley’s Five Rain Sugar Free 1,5 gum Rain 15s,FIVE GUM SOUR STRBRY FLOOD,True,02200011045,"{'id': 'QF5Y6BX2MK0W4', 'name': '5 Gum Wrigley’s Five Rain Sugar Free 1'}",
95AXPCKTAKG20,80,"The inventory item 'Gatorade Thirst Quencher Fruit Punch Natural Flavor 20 Fl Oz' closely matches the receipt item 'GATORADE FT PNCH 24/ 20OZ' in terms of flavor, size, and quantity.",Gatorade Thirst Quencher Fruit Punch Natural Flavor 20 Fl Oz,G fruitpunch 20oz,GATORADE FT PNCH 24/ 20OZ,True,ga20,"{'id': '95AXPCKTAKG20', 'name': 'Gatorade Thirst Quencher Fruit Punch Natural Flavor 20 Fl Oz'}",DC Grocery Cash & Carry
T4D7AVG0HKKTE,90,"The receipt item 'RED BULL ORIG 24/8.4OZ' matches the inventory item 'Red Bull Energy Drink - 20 Fl Oz Can' based on the brand name, product type, and size similarity. The receipt item quantity of 24 and size of 8.4oz may be a slight variation, but overall, this is the closest match.",,,RED BULL ORIG 24/8.4OZ,True,61126999124,"{'id': 'T4D7AVG0HKKTE', 'name': None}",DC Grocery Cash & Carry
YQ8G34601VA8J,80,"The receipt item 'CORE POWER CHOCOLATE MILK SHAKE 12/14 OZ' matches the inventory item 'Core Power Ch.' in terms of brand name, product type (chocolate milk shake), and size (14 oz). The alternate name is not provided, but the main name is a close match.",Core Power Ch.,,CORE POWER CHOCOLATE MILK SHAKE 12/14 OZ,True,811620022002,"{'id': 'YQ8G34601VA8J', 'name': 'Core Power Ch.'}",DC Grocery Cash & Carry
60X2V3D85NNY2,90,"The receipt item and inventory item both mention 'Foco', 'Coconut', and '17.6 oz'. The quantities also match.",Foco Juice Coconut,Foco coconut juice 17.6oz,FOCO COCONUT JC 24/17.6 OZ,True,8851613101583,"{'id': '60X2V3D85NNY2', 'name': 'Foco Juice Coconut'}",DC Grocery Cash & Carry
14SGMY5TWX2TJ,90,"The receipt item 'PRIME H GLONBERRY 12/16 OZ' closely matches the inventory item 'Prime Hydration Drink Glowberry 16oz' in terms of flavor (Glowberry), size (16oz), and brand (Prime Hydration). The only discrepancy is the quantity, but it is likely a packaging difference.",Prime Hydration Drink Glowberry 16oz,Prime Glowberry,PRIME H GLONBERRY 12/16 OZ,True,81011612183,"{'id': '14SGMY5TWX2TJ', 'name': 'Prime Hydration Drink Glowberry 16oz'}",DC Grocery Cash & Carry
JENNFB29MM558,90,"The receipt item 'TURKEY HILL FRT PUNCH 8 /64FZ' closely matches the inventory item 'Turkey Hill Iced Tea 18.5 Fl Oz' in terms of brand (Turkey Hill), product type (beverage), and size (18.5 Fl Oz). The discrepancy in the flavor (fruit punch vs. iced tea) is minor and could be attributed to variations in product offerings.",Turkey Hill Iced Tea 18.5 Fl Oz,TURKEY HILL iced tea 18.5oz,TURKEY HILL FRT PUNCH 8 /64FZ,True,2073509416,"{'id': 'JENNFB29MM558', 'name': 'Turkey Hill Iced Tea 18.5 Fl Oz'}",DC Grocery Cash & Carry
G6QF9W9QZ20PE,90,"The receipt item mentions 'LACROIX' and 'GRAPEFRUIT', which matches the inventory item 'LaCroix Grapefruit Sparkling Water | 12 Fl Oz'. The quantities and sizes also match.",LaCroix Grapefruit Sparkling Water | 12 Fl Oz,La Croix grapefruit 12pk,LACROIX 2/12/12OZ GRAPEFRUIT,True,1299340120,"{'id': 'G6QF9W9QZ20PE', 'name': 'LaCroix Grapefruit Sparkling Water | 12 Fl Oz'}",DC Grocery Cash & Carry
F96KN2KM2V8P6,80,"The receipt item 'MONSTER 24/16 OZ ENERGY ULTRA' matches the inventory item 'Monster Ultra Zero Sugar' in terms of brand, product type, and size. The quantity of 24 also aligns with the inventory item being sold in a pack.",Monster Ultra Zero Sugar,,MONSTER 24/16 OZ ENERGY ULTRA,True,7084702240,"{'id': 'F96KN2KM2V8P6', 'name': 'Monster Ultra Zero Sugar'}",DC Grocery Cash & Carry
