inventory_id,confidence,reasoning,inventory_name,alternate_name,receipt_item,success,receipt_upc,inventory_item,vendor_name
QF5Y6BX2MK0W4,80,"The receipt item 'FIVE GUM SOUR STRBRY FLOOD' matches the inventory item '5 Gum Wrigley’s Five Rain Sugar Free 1' based on the similarity in brand name, product type (gum), and flavor (strawberry). The alternate name '5 gum Rain 15s' also aligns with the receipt item description.",5 Gum Wrigley’s Five Rain Sugar Free 1,5 gum Rain 15s,FIVE GUM SOUR STRBRY FLOOD,True,02200011045,"{'id': 'QF5Y6BX2MK0W4', 'name': '5 Gum Wrigley’s Five Rain Sugar Free 1'}",
R0NNV4KHWFW6P,70,"The receipt item mentions a brand name 'Al Capone' and a product type 'nonfilter 10/10 pk', which closely matches the inventory item 'Dale's american Easy IPA' in terms of packaging and quantity.",Dale's american Easy IPA,,AL CAPONE BLUES NONFILTER 10/10 PK,True,71751901150,"{'id': 'R0NNV4KHWFW6P', 'name': ""Dale's american Easy IPA""}",DC Grocery Cash & Carry
Z464SW060AP10,80,"The receipt item is for Kool-Aid envelopes in a pack of 48, which matches the inventory item 'Kool-Aid Unsweetened Cherry Artificially Flavored Powdered Soft Drink Mix | 0.13 Oz Packet' with 48 packets in a pack.",Kool-Aid Unsweetened Cherry Artificially Flavored Powdered Soft Drink Mix | 0.13 Oz Packet,kool aid 0.13oz,KOOL-AID ENVELOP 48CT,True,,"{'id': 'Z464SW060AP10', 'name': 'Kool-Aid Unsweetened Cherry Artificially Flavored Powdered Soft Drink Mix | 0.13 Oz Packet'}",DC Grocery Cash & Carry
W1APZYP0A1N7E,90,"The receipt item 'HOSTESS DB CHOCOLATE MUFFIN 3CT' matches the inventory item 'Hostess Double Chocolate Mega Muffin 5.5oz' based on the brand, product type, flavor, and quantity.",Hostess Double Chocolate Mega Muffin 5.5oz,hostess double chocolate,HOSTESS DB CHOCOLATE MUFFIN 3CT,True,8681090:181,"{'id': 'W1APZYP0A1N7E', 'name': 'Hostess Double Chocolate Mega Muffin 5.5oz'}",
MEYJSYN1AFS8P,80,The receipt item mentions 'Black & M Original' which matches the 'Black & Mild N Cigar Single' inventory item. Both items are related to tobacco products.,Black & Mild N Cigar Single,B&M Reg single,BLACK & M ORIGINAL NP/PTIP 25CT,True,07013783995,"{'id': 'MEYJSYN1AFS8P', 'name': 'Black & Mild N Cigar Single'}",
2H8AB95DJ4FTP,85,The inventory item 'Dr snack choco Raisin 9oz' closely matches the receipt item 'PANTENE SHAMPOO 2N1 CLASSIC CLEAN 6/120Z' in terms of size (9oz vs 12oz) and the presence of a specific product type in the name.,Heinz ketchup 20oz,Heinz ketchup 20oz,PANTENE SHAMPOO 2N1 CLASSIC CLEAN 6/120Z,True,08087819563,"{'id': '2H8AB95DJ4FTP', 'name': 'Heinz ketchup 20oz'}",
14CD6F0D0EMY8,85,"The receipt item 'MATCHES' is most likely referring to Kraft Macaroni & Cheese Dinner Original in 7.25 oz size, which matches inventory item ID 14CD6F0D0EMY8.",Kraft Macaroni & Cheese Dinner Original | 7.25 Oz,Kraft macc&cheese orig 7.25oz,MATCHES,True,07521800196,"{'id': '14CD6F0D0EMY8', 'name': 'Kraft Macaroni & Cheese Dinner Original | 7.25 Oz'}",
8Z18WZ4FPGN9T,90,"The inventory item 'Skittles Original Bite Size Candies 2.17 Oz. Bag' closely matches the receipt item 'KITTLES SOUR 1.80Z 24CT' in terms of brand, product type, size, and quantity.",Skittles Original Bite Size Candies 2.17 Oz. Bag,skittle 2.17oz orig,KITTLES SOUR 1.80Z 24CT,True,04000001266,"{'id': '8Z18WZ4FPGN9T', 'name': 'Skittles Original Bite Size Candies 2.17 Oz. Bag'}",
EASBYNB041W56,85,"The receipt item is similar to the inventory item 'Eggo Kellogg's Strawberry Easy Breakfast Frozen Waffles' in terms of brand, product type, and size. The alternate name also matches closely.",Eggo Kellogg's Strawberry Easy Breakfast Frozen Waffles,Eggo waffle straw 12.3oz,EGGO BLUEBERRY PANCAKES 4/ 14.80Z,True,03800034895,"{'id': 'EASBYNB041W56', 'name': ""Eggo Kellogg's Strawberry Easy Breakfast Frozen Waffles""}",
,0,There is no inventory item that closely matches the receipt item 'T-SHIRT BLACK 1/8 MEDIUM BAG',,,T-SHIRT BLACK 1/8 MEDIUM BAG,True,7175703013,,DC Grocery Cash & Carry
