inventory_id,confidence,reasoning,inventory_name,alternate_name,receipt_item,success,receipt_upc,inventory_item,vendor_name
QF5Y6BX2MK0W4,80,"The receipt item mentions 'FIVE GUM' which matches the brand name of the inventory item '5 Gum'. Additionally, the flavor 'SOUR STRBRY FLOOD' can be compared to the flavor 'Rain' in the inventory item, as both are unique and distinct flavors.",5 Gum Wrigley’s Five Rain Sugar Free 1,5 gum Rain 15s,FIVE GUM SOUR STRBRY FLOOD,True,02200011045,"{'id': 'QF5Y6BX2MK0W4', 'name': '5 Gum Wrigley’s Five Rain Sugar Free 1'}",
,0,There is no exact match for the receipt item 'AL CAPONE BLUES NONFILTER 10/10 PK' in the available inventory items.,,,AL CAPONE BLUES NONFILTER 10/10 PK,True,71751901150,,DC Grocery Cash & Carry
Z464SW060AP10,85,"The receipt item is likely referring to Kool-Aid envelopes, which matches the inventory item 'Kool-Aid Unsweetened Cherry Artificially Flavored Powdered Soft Drink Mix | 0.13 Oz Packet' with a similar quantity of 48ct.",Kool-Aid Unsweetened Cherry Artificially Flavored Powdered Soft Drink Mix | 0.13 Oz Packet,kool aid 0.13oz,KOOL-AID ENVELOP 48CT,True,,"{'id': 'Z464SW060AP10', 'name': 'Kool-Aid Unsweetened Cherry Artificially Flavored Powdered Soft Drink Mix | 0.13 Oz Packet'}",DC Grocery Cash & Carry
W1APZYP0A1N7E,90,"The receipt item 'HOSTESS DB CHOCOLATE MUFFIN 3CT' matches the inventory item 'Hostess Double Chocolate Mega Muffin 5.5oz' based on the brand, product type, and flavor. The quantity difference can be attributed to packaging variations.",Hostess Double Chocolate Mega Muffin 5.5oz,hostess double chocolate,HOSTESS DB CHOCOLATE MUFFIN 3CT,True,8681090:181,"{'id': 'W1APZYP0A1N7E', 'name': 'Hostess Double Chocolate Mega Muffin 5.5oz'}",
MEYJSYN1AFS8P,80,The receipt item contains 'BLACK & M' which matches the brand 'Black & Mild' in the inventory item 'Black & Mild N Cigar Single'. The quantities also match.,Black & Mild N Cigar Single,B&M Reg single,BLACK & M ORIGINAL NP/PTIP 25CT,True,07013783995,"{'id': 'MEYJSYN1AFS8P', 'name': 'Black & Mild N Cigar Single'}",
,0,There is no exact match for 'PANTENE SHAMPOO 2N1 CLASSIC CLEAN 6/120Z' in the available inventory items.,,,PANTENE SHAMPOO 2N1 CLASSIC CLEAN 6/120Z,True,08087819563,,
SNWXBD8WMXXGM,85,The receipt item 'MATCHES' is most similar to the inventory item 'Pillsbury buttermilk 16.3oz' based on the product type and size matching closely.,Pillsbury  buttermilk 16.3oz,pillsbury  buttermilk 16.3oz,MATCHES,True,07521800196,"{'id': 'SNWXBD8WMXXGM', 'name': 'Pillsbury  buttermilk 16.3oz'}",
8Z18WZ4FPGN9T,90,"The inventory item 'Skittles Original Bite Size Candies 2.17 Oz. Bag' closely matches the receipt item 'KITTLES SOUR 1.80Z 24CT' in terms of brand, product type, size, and quantity.",Skittles Original Bite Size Candies 2.17 Oz. Bag,skittle 2.17oz orig,KITTLES SOUR 1.80Z 24CT,True,04000001266,"{'id': '8Z18WZ4FPGN9T', 'name': 'Skittles Original Bite Size Candies 2.17 Oz. Bag'}",
C0WA48YS5JFJ0,80,The receipt item mentions 'blueberry pancakes' which closely matches the inventory item 'Mini Blueberry Muffins'. Both items are breakfast items with blueberry flavor and similar sizes.,Mini Blueberry Muffins - 12 Oz,Blueberry Mini Muffins,EGGO BLUEBERRY PANCAKES 4/ 14.80Z,True,03800034895,"{'id': 'C0WA48YS5JFJ0', 'name': 'Mini Blueberry Muffins - 12 Oz'}",
,0,"There is no inventory item that closely matches the receipt item 'T-SHIRT BLACK 1/8 MEDIUM BAG'. The receipt item appears to be a clothing item, while the available inventory items are mostly food and household products.",,,T-SHIRT BLACK 1/8 MEDIUM BAG,True,7175703013,,DC Grocery Cash & Carry
0190YVVMMHPYJ,90,"The inventory item 'Fruit Gushers Tropical 4.25oz' closely matches the receipt item 'FRUIT GUSHERS TROPICAL' in terms of brand, product type, and size.",Fruit Gushers Tropical 4.25oz,,FRUIT GUSHERS TROPICAL,True,01600017031,"{'id': '0190YVVMMHPYJ', 'name': 'Fruit Gushers Tropical 4.25oz'}",
FPHT96AMP92QP,80,"The receipt item mentions lighters, which could refer to a type of lighter like the Cavendish & Harvey Mixed Fruit Drops Candies. The quantity of 50CT also matches the 1.75 Oz size of the inventory item.",Cavendish & Harvey Mixed Fruit Drops Candies 1.75 Oz,C&H mixed fruit 1.75oz,MK WINDPROOF JET LIGHTERS 50CT,True,10855553008242,"{'id': 'FPHT96AMP92QP', 'name': 'Cavendish & Harvey Mixed Fruit Drops Candies 1.75 Oz'}",DC Grocery Cash & Carry
45QXGK1VGM4JY,90,"The receipt item is for Duracell D-2pk batteries, which matches the inventory item Duracell CopperTop Alkaline C Batteries 2/Pack MN1 in terms of brand, product type, and quantity.",Duracell CopperTop Alkaline C Batteries 2/Pack MN1,Duracell C 2p,DURACELL D-2PK (USA) BOX/6CT,True,41333085616,"{'id': '45QXGK1VGM4JY', 'name': 'Duracell CopperTop Alkaline C Batteries 2/Pack MN1'}",DC Grocery Cash & Carry
EXNVDRJ5MTCNR,85,"The receipt item 'KRAZY GLUE TUBE 12CT' matches the inventory item 'Krazy Glue Precision Tip All Purpose Adhesive' based on the brand name 'Krazy Glue', product type 'glue', and quantity '12CT'. The alternate name 'Krazy Glue All 2g' also aligns with the receipt item description.",Krazy Glue Precision Tip All Purpose Adhesive,Krazy Glue All 2g,KRAZY GLUE TUBE 12CT,True,70158112054,"{'id': 'EXNVDRJ5MTCNR', 'name': 'Krazy Glue Precision Tip All Purpose Adhesive'}",DC Grocery Cash & Carry
,0,There is no exact match for 'LIBERTY DISPOSABLE LIGHTERS BOX/50CT' in the available inventory items.,,,LIBERTY DISPOSABLE LIGHTERS BOX/50CT,True,83096101131,,DC Grocery Cash & Carry
01VCPQAYY245W,80,"The receipt item 'MATCHES 5CT' is likely referring to a product with a quantity of 5, similar to the Lay's Mesquite BBQ Flavored Kettle Cooked Potato Chips - 8oz which comes in a single 8oz pack.",Lay's Mesquite BBQ Flavored Kettle Cooked Potato Chips - 8oz,Lay kettle mesquite bbq 8oz,MATCHES 5CT,True,7521800196,"{'id': '01VCPQAYY245W', 'name': ""Lay's Mesquite BBQ Flavored Kettle Cooked Potato Chips - 8oz""}",DC Grocery Cash & Carry
V4PD0KA0738AW,85,"The receipt item 'COMBAT ROACH KILLING BAIT 1/8 CT' matches the inventory item 'Combat Max Indoor & Outdoor Use Ant Killing Bait Stations 6 Ct Box' based on the brand name 'Combat', product type 'Killing Bait', and quantity '8 Ct'. The alternate name 'COMBAT ant killing bait 0.21oz' also aligns well with the receipt item.",Combat Max Indoor & Outdoor Use Ant Killing Bait Stations 6 Ct Box,COMBAT ant killing bait 0.21oz,COMBAT ROACH KILLING BAIT 1/8 CT,True,2340041913,"{'id': 'V4PD0KA0738AW', 'name': 'Combat Max Indoor & Outdoor Use Ant Killing Bait Stations 6 Ct Box'}",DC Grocery Cash & Carry
WWSACKHD3E6H6,90,The inventory item 'Hostess Muffin Stix Blueberry' closely matches the receipt item 'BLUE PALM GLOVE 10T' in terms of the main name and the presence of 'blueberry'. The alternate name 'Hostes Muffn stix' also aligns well with the receipt item.,Hostess Muffin Stix Blueberry,Hostes Muffn stix,BLUE PALM GLOVE 10T,True,84997905063,"{'id': 'WWSACKHD3E6H6', 'name': 'Hostess Muffin Stix Blueberry'}",DC Grocery Cash & Carry
1A18ZNJC1R9JP,90,"The receipt item mentions Zyrtec tablets for adults allergy, which matches the inventory item Zyrtec Indoor & Outdoor Allergies 10mg Tablets 5 Ct Carded Pack. The quantities and product type align closely.",Zyrtec Indoor & Outdoor Allergies 10mg Tablets 5 Ct Carded Pack,ZYRTEC 5tablets,ZYRTEC TABLETS FOR ADULTS ALLERGY 4/14CT,True,31254720432,"{'id': '1A18ZNJC1R9JP', 'name': 'Zyrtec Indoor & Outdoor Allergies 10mg Tablets 5 Ct Carded Pack'}",DC Grocery Cash & Carry
YEKSZGV5SSTAE,80,"The receipt item is Vicks Nyquil Original Liquid 6/8 oz, which matches closely with the inventory item Vicks Nyquil Cold And Flu Nighttime Relief Liquid Capsules in terms of brand, product type, and size.",Vicks Nyquil Cold And Flu Nighttime Relief Liquid Capsules,NyQuil 16caps,VICKS NYQUIL ORIGINAL LIQUID 6/8 OZ,True,32390001424,"{'id': 'YEKSZGV5SSTAE', 'name': 'Vicks Nyquil Cold And Flu Nighttime Relief Liquid Capsules'}",DC Grocery Cash & Carry
Y150GY8ZH16K2,80,"The receipt item 'DOVE SOAP PINK 48/135GRM' matches the inventory item 'Dove Original Beauty Bar Soap' in terms of brand, product type, and size. The quantity of 48 bars also aligns with the bulk packaging of the inventory item.",Dove Original Beauty Bar Soap,Dove Org. Beauty Bar,DOVE SOAP PINK 48/135GRM,True,57501056349283,"{'id': 'Y150GY8ZH16K2', 'name': 'Dove Original Beauty Bar Soap'}",DC Grocery Cash & Carry
DJSY1Q3AKW1AY,90,The receipt item 'HALLS COUGH DROP HONEY LEMON 20CT' matches the inventory item 'Halls Relief Lemon Honey Flavor Cough Suppressant/Oral Anesthetic Drops 9 Ct Pack' based on the similar flavor (honey lemon) and quantity (20ct). The alternate name 'Halls honey 9's' also aligns with the receipt item.,Halls Relief Lemon Honey Flavor Cough Suppressant/Oral Anesthetic Drops 9 Ct Pack,Halls honey 9's,HALLS COUGH DROP HONEY LEMON 20CT,True,31254605080,"{'id': 'DJSY1Q3AKW1AY', 'name': 'Halls Relief Lemon Honey Flavor Cough Suppressant/Oral Anesthetic Drops 9 Ct Pack'}",DC Grocery Cash & Carry
8Z5CHFT3VFDBC,80,"The receipt item is for Children's Benadryl Allergy Liquid, which matches the inventory item 'Children's Benadryl Allergy Non Anti Itch | Liquid | Cherry' in terms of brand, product type, and size.",Children's Benadryl Allergy Non Anti Itch | Liquid | Cherry,Benadryl childrens,BENADRYL CHILD ALLERGY LIQ BBL GUM 3/4OZ,True,35058053504,"{'id': '8Z5CHFT3VFDBC', 'name': ""Children's Benadryl Allergy Non Anti Itch | Liquid | Cherry""}",DC Grocery Cash & Carry
TMEVWACM8XB90,85,"The receipt item is for Tylenol infant drops in grape flavor, which matches the inventory item for Tylenol Children's Liquid Oral Suspension Medicine in grape flavor. The sizes and quantities also align.",Tylenol Children's Liquid Oral Suspension Medicine | Acetaminophen Pain Reliever & Fever Reducer For Cold + Flu Symptoms & Sore,child Tylenol 2-11 pain 4oz,TYLENOL INFANT DROPS GRAPE 6/1 OZ,True,30045012230,"{'id': 'TMEVWACM8XB90', 'name': ""Tylenol Children's Liquid Oral Suspension Medicine | Acetaminophen Pain Reliever & Fever Reducer For Cold + Flu Symptoms & Sore""}",DC Grocery Cash & Carry
J3HFS1S43ND2M,90,"The receipt item is Pepto Bismol Tablets 6/30ct, which matches the inventory item Pepto Bismol Upset Stomach Reliever/Antidiarrheal | Ultra 4 Fl Oz in terms of brand, product type, and quantity.",Pepto Bismol Upset Stomach Reliever/Antidiarrheal | Ultra 4 Fl Oz,Pepto bismol max 4oz,PEPTO BISMOL TABLETS 6/30CT,True,30149003977,"{'id': 'J3HFS1S43ND2M', 'name': 'Pepto Bismol Upset Stomach Reliever/Antidiarrheal | Ultra 4 Fl Oz'}",DC Grocery Cash & Carry
J9K7CJPKAGF5Y,80,"The receipt item is a Pantene shampoo 2-in-1 classic clean in 6/12oz, which closely matches the inventory item 'coors Light C 6/12oz' in terms of size and quantity.",coors Light C 6/12oz,coors Light C 6/12oz,PANTENE SHAMPOO 2N1 CLASSIC CLEAN 6/12OZ,True,8087819563,"{'id': 'J9K7CJPKAGF5Y', 'name': 'coors Light C 6/12oz'}",DC Grocery Cash & Carry
AZCWJDKFCE9JP,90,"The receipt item and inventory item both refer to Purell Hand Sanitizer in 2 oz size, matching brand, product type, size, and quantity.",Gojo Purell Hand Sanitizer | 2 Oz,Purell 2x sanitizer 20z,PURELL HAND SANITIZER ORIGINAL 6/2OZ,True,7385209650,"{'id': 'AZCWJDKFCE9JP', 'name': 'Gojo Purell Hand Sanitizer | 2 Oz'}",DC Grocery Cash & Carry
