inventory_id,confidence,reasoning,inventory_name,alternate_name,receipt_item,success,receipt_upc,inventory_item,vendor_name,error
QF5Y6BX2MK0W4,80.0,"The receipt item mentions 'FIVE GUM' which matches the brand name in the inventory item '5 Gum Wrigley’s Five Rain Sugar Free 1'. Additionally, the flavor 'SOUR STRBRY FLOOD' can be associated with 'Rain' flavor in the inventory item.",5 Gum Wrigley’s Five Rain Sugar Free 1,5 gum Rain 15s,FIVE GUM SOUR STRBRY FLOOD,True,02200011045,"{'id': 'QF5Y6BX2MK0W4', 'name': '5 Gum Wrigley’s Five Rain Sugar Free 1'}",,
60X2V3D85NNY2,90.0,The receipt item and inventory item both mention 'Foco Coconut Juice' in similar quantities and sizes.,Foco Juice Coconut,Foco coconut juice 17.6oz,FOCO COCONUT JC 24/17.6 OZ,True,8851613101583,"{'id': '60X2V3D85NNY2', 'name': 'Foco Juice Coconut'}",DC Grocery Cash & Carry,
14SGMY5TWX2TJ,90.0,"The receipt item 'PRIME H GLONBERRY 12/16 OZ' closely matches the inventory item 'Prime Hydration Drink Glowberry 16oz' in terms of brand, flavor (Glowberry), and size (16oz). The alternate name 'Prime Glowberry' also aligns well with the receipt item description.",Prime Hydration Drink Glowberry 16oz,Prime Glowberry,PRIME H GLONBERRY 12/16 OZ,True,81011612183,"{'id': '14SGMY5TWX2TJ', 'name': 'Prime Hydration Drink Glowberry 16oz'}",DC Grocery Cash & Carry,
JENNFB29MM558,90.0,"The receipt item 'TURKEY HILL FRT PUNCH 8 /64FZ' matches the inventory item 'Turkey Hill Iced Tea 18.5 Fl Oz' based on the brand name 'Turkey Hill', product type 'drink', and similar size '18.5 Fl Oz'. The discrepancy in the flavor (iced tea vs. fruit punch) is minor and can be attributed to variations in product offerings.",Turkey Hill Iced Tea 18.5 Fl Oz,TURKEY HILL iced tea 18.5oz,TURKEY HILL FRT PUNCH 8 /64FZ,True,2073509416,"{'id': 'JENNFB29MM558', 'name': 'Turkey Hill Iced Tea 18.5 Fl Oz'}",DC Grocery Cash & Carry,
G6QF9W9QZ20PE,90.0,"The inventory item 'LaCroix Grapefruit Sparkling Water | 12 Fl Oz' closely matches the receipt item 'LACROIX 2/12/12OZ GRAPEFRUIT' in terms of brand, flavor (grapefruit), size (12 oz), and quantity (2 packs of 12). The alternate name 'La Croix grapefruit 12pk' also aligns well.",LaCroix Grapefruit Sparkling Water | 12 Fl Oz,La Croix grapefruit 12pk,LACROIX 2/12/12OZ GRAPEFRUIT,True,1299340120,"{'id': 'G6QF9W9QZ20PE', 'name': 'LaCroix Grapefruit Sparkling Water | 12 Fl Oz'}",DC Grocery Cash & Carry,
F96KN2KM2V8P6,80.0,The receipt item mentions 'Monster Energy Ultra' which matches the inventory item 'Monster Ultra Zero Sugar'. Both items are energy drinks from the Monster brand.,Monster Ultra Zero Sugar,,MONSTER 24/16 OZ ENERGY ULTRA,True,7084702240,"{'id': 'F96KN2KM2V8P6', 'name': 'Monster Ultra Zero Sugar'}",DC Grocery Cash & Carry,
GJJMPYZSZAKHT,80.0,"The inventory item 'LaCroix Coconut Sparkling Water 12oz' is the closest match to the receipt item 'LACROIX MANGO 2/12PK' based on the brand name, product type, and pack size. While the flavors are different, the pack size and brand match closely.",LaCroix Coconut Sparkling Water 12oz,La croix coconut 12oz,LACROIX MANGO 2/12PK,True,1299311203,"{'id': 'GJJMPYZSZAKHT', 'name': 'LaCroix Coconut Sparkling Water 12oz'}",DC Grocery Cash & Carry,
39HD467DEP4FW,70.0,"The receipt item 'MY ALOE ORIGINAL 20/500 ML' does not have a clear match in the available inventory items. However, the closest match based on the quantity and type of product is 'Joyride 0 Sugar Sour Gummy Worms'.",Joyride 0 Sugar Sour Gummy Worms,,MY ALOE ORIGINAL 20/500 ML,True,18809125063025,"{'id': '39HD467DEP4FW', 'name': 'Joyride 0 Sugar Sour Gummy Worms'}",DC Grocery Cash & Carry,
VWQ75GZJCQ3H6,70.0,"The inventory item 'San Marzano Crushed Tomatoes | No Salt Added' is the closest match in terms of brand name and quantity (15/750ml). Although it is not an exact match, it is the most similar option available.",San Marzano Crushed Tomatoes | No Salt Added,san marzano crushed tomato 14o,SAN PELLEGRINO 15/750ML,True,4150863446,"{'id': 'VWQ75GZJCQ3H6', 'name': 'San Marzano Crushed Tomatoes | No Salt Added'}",DC Grocery Cash & Carry,
V1H61T1NHNWMJ,90.0,"The receipt item 'COKE MEX MEDIO LTR 24/500 ML' matches the inventory item 'Coke Mexican Bottle 500ml (16 Oz)' in terms of brand, product type, size, and quantity.",Coke Mexican Bottle 500ml (16 Oz),cocacola btle 500ml,COKE MEX MEDIO LTR 24/500 ML,True,COKE,"{'id': 'V1H61T1NHNWMJ', 'name': 'Coke Mexican Bottle 500ml (16 Oz)'}",DC Grocery Cash & Carry,
