inventory_id,confidence,reasoning,inventory_name,receipt_item,success,receipt_upc,inventory_item,vendor_item_id,vendor_name
7030NPZPZ386C,60,"Matches brand 'Tide' and variant 'with Downy April Fresh'; no Tide liquid Downy April Fresh item is available, so the Pods version is the closest despite form/size differences.",Tide 4in 1 downy 30 oz,TIDE 2X DOWNY APRL FRESH LIQ 6/42 OZ,True,03077212272,"{'id': '7030NPZPZ386C', 'name': 'Tide 4in 1 downy 30 oz'}",4552,DC GROCERY CASH & CARRY
P3SVGQBWWMDC0,97,"Receipt indicates Tide liquid Original, case 6 of 25 oz (6/25), which matches 'Tide orig 25oz' / 'Tide Original Liquid Laundry Detergent' exactly on brand, type, variant, and size.",Tide orig 25oz,TIDE LQ 2X ORIG 16 LD 6/25 EZ,True,1003700013075,"{'id': 'P3SVGQBWWMDC0', 'name': 'Tide orig 25oz'}",4563,DC GROCERY CASH & CARRY
G76DRMTGH2Y4R,90,"Receipt indicates 'Amy's Kitchen Cheddar Burrito' at 5.5 oz, which matches the 'Burrito cheddar G/F 5.5oz' size and variant, while other Amy burritos are different variants or 6 oz.",Burrito cheddar G/F 5.5oz,AMYKCTHN CHEDR SURRITO 12/5.5OZ,True,19:42272000712,"{'id': 'G76DRMTGH2Y4R', 'name': 'Burrito cheddar G/F 5.5oz'}",5567,DC GROCERY CASH & CARRY
Z9A974AEXR508,97,Brand 'Hostess' and product 'Sno Balls' match exactly; size '6CT' is not specified in inventory but does not conflict.,hostess snoballs,HOSTESS SNO BALLS 6CT,True,10885109010093,"{'id': 'Z9A974AEXR508', 'name': 'hostess snoballs'}",5554,DC GROCERY CASH & CARRY
ESD23576FJFEM,75,"Matches brand 'York' and product 'Peppermint Pattie'; size differs (36ct vs 1.4oz single), but no other York items are available.",York pepper pattie 1.4oz,YORK PEPPERMINT PATTIES 36CT,True,3400090330,"{'id': 'ESD23576FJFEM', 'name': 'York pepper pattie 1.4oz'}",870,DC GROCERY CASH & CARRY
ETJF15PAB9TCY,93,"Matches brand 'Tic Tac', variant 'Orange', and size '1 oz'; the receipt's 12CT indicates a multipack of the same item.",tictac orange 1oz,TICTAC SINGLES ORANGE 1OZ 12CT,True,980005773,"{'id': 'ETJF15PAB9TCY', 'name': 'tictac orange 1oz'}",1077,DC GROCERY CASH & CARRY
0A7W7Z22A2JYR,88,"Brand 'Trident' and variant 'Bubblegum' match exactly; size differs (receipt shows 12/12CT vs inventory 14-piece), but no 12-count Bubblegum option is available.",Trident bobble 14s,TRIDENT BUBBLE GUM 12/12CT,True,1254601143,"{'id': '0A7W7Z22A2JYR', 'name': 'Trident bobble 14s'}",1053,DC GROCERY CASH & CARRY
YS57CDMSAV3YY,88,"Matches brand 'Gain' and size '46 oz'; the receipt’s variant 'Island Fresh' isn’t specified in inventory, but this is the only Gain 46 oz option and the alternative is 'Original Fresh' 25 oz which mismatches.",Gain 46oz,GAIN LIQ ISLAND FRESH 6/46 OZ,True,03700076954,"{'id': 'YS57CDMSAV3YY', 'name': 'Gain 46oz'}",4551,DC GROCERY CASH & CARRY
BFEGQA5XPDK1P,95,"Receipt indicates Gatorade Fruit Punch 24/20oz; this item clearly matches brand Gatorade, variant Fruit Punch, and 20oz size, while other options are different flavors or brands.",Gato fruit punch 130c 20oz,GATORADE FT PNCH 24/20OZ,True,ga20,"{'id': 'BFEGQA5XPDK1P', 'name': 'Gato fruit punch 130c 20oz'}",152,DC GROCERY CASH & CARRY
,35,"The receipt only specifies 'Gatorade 15/28 oz' with no flavor or type, while multiple 28‑oz Gatorade variants exist; there is no generic 28‑oz item to match unambiguously.",,GATORADE 15/28 OZ,True,GA28,,151,DC GROCERY CASH & CARRY
