inventory_id,confidence,reasoning,inventory_name,receipt_item,success,receipt_upc,inventory_item,vendor_item_id,vendor_name
NEWE46M63NBJG,85,"Matched brand 'Tide', variant '4 In 1 With Downy', and size '30 oz'. No other Tide variant matched better.",Tide Pods Detergent | 4 In 1 With Downy | April Fresh | Pacs,TIDE 2X DOWNY APRL FRESH LIQ 6/42 OZ,True,03077212272,"{'id': 'NEWE46M63NBJG', 'name': 'Tide Pods Detergent | 4 In 1 With Downy | April Fresh | Pacs'}",4552,
1HFNV3GP9BX1T,95,"Matched brand 'Corona', pack size '6/12oz', and no other Corona variant matched better.",Corona Extra 6/12oz,CORONA 4/6 /12 OZ BTL,True,8066095609,"{'id': '1HFNV3GP9BX1T', 'name': 'Corona Extra 6/12oz'}",121,
V2BZV531KJS52,85,"Matched brand 'Amy', product name 'Burrito', and variant 'Southwest'. Size was not specified but overall match is strong.",Amy burrito southwest 5.5oz,AMYKCTHN CHEDR SURRITO 12/5.5OZ,True,19:42272000712,"{'id': 'V2BZV531KJS52', 'name': 'Amy burrito southwest 5.5oz'}",5567,
VZ43FWJ77Y4P2,85,Matched brand 'Xtra Detergent' and variant 'Tropical Passion'. Size '57.6 Fl Oz' is not an exact match but closest available.,Xtra rain 57.6oz,XTRA LNDRY2XTROPPASSIO 6/57.6 OZ,True,09451402004,"{'id': 'VZ43FWJ77Y4P2', 'name': 'Xtra rain 57.6oz'}",4561,
HP9HBNZDKPA5A,95,Matched brand 'Hostess' and variant 'Twinkies'. No other Hostess variant matched better.,hostess twinkies,HOSTESS SNO BALLS 6CT,True,10885109010093,"{'id': 'HP9HBNZDKPA5A', 'name': 'hostess twinkies'}",5554,
Z6YMFRANBB3K8,85,Matched brand 'Heineken' and size '6/12oz'. No other Heineken variant matched better.,Heineken 6/12oz,HEINKEN 4/6/12 OZ BTL,True,7289000021,"{'id': 'Z6YMFRANBB3K8', 'name': 'Heineken 6/12oz'}",568,
V6FMR3WGRPFR8,85,Matched brand 'Trident' and variant 'Island Berry Lime'. No other Trident variant matched better.,Trident Island Berry Lime,GAIN LIQ ISLAND FRESH 6/46 OZ,True,03700076954,"{'id': 'V6FMR3WGRPFR8', 'name': 'Trident Island Berry Lime'}",4551,
HMX26D1ZK5TAR,85,"Matched brand 'Gatorade', variant 'Fruit Punch', and size '20oz'. Closest match based on brand and variant.",gato punch O  20oz,GATORADE FT PNCH 24/20OZ,True,ga20,"{'id': 'HMX26D1ZK5TAR', 'name': 'gato punch O  20oz'}",152,
KSCP2CNGJP1SY,85,Matched brand 'Gatorade' and size '20oz'. No other Gatorade variant matched better.,Gatorade Glacier Freeze 20oz,GATORADE 15/28 OZ,True,GA28,"{'id': 'KSCP2CNGJP1SY', 'name': 'Gatorade Glacier Freeze 20oz'}",151,
P3SVGQBWWMDC0,95,Matched brand 'Tide' and variant 'Original Liquid Laundry Detergent'. No other Tide variant matched better.,Tide orig 25oz,TIDE LQ 2X ORIG 16 LD 6/25 EZ,True,1003700013075,"{'id': 'P3SVGQBWWMDC0', 'name': 'Tide orig 25oz'}",4563,
0X0V7X1GN84RY,95,"Matched brand 'Gain', variant 'Original Fresh', and size '25 oz bottle'. No other Gain variant matched better.",Gain orig 25oz,GAIN LIQ ORIGINAL 2X 6/25 OZ,True,10037000197850,"{'id': '0X0V7X1GN84RY', 'name': 'Gain orig 25oz'}",4562,
