inventory_id,confidence,reasoning,inventory_name,alternate_name,receipt_item,success,receipt_upc,inventory_item,vendor_name,error
1,85.0,"Matched brand 'Corona', product 'Extra Lager Beer', and size '6/12 oz'. Alternate name closely related.",,,CORONA 4/6 /12 OZ BTL,True,8066095609,"{'id': 1, 'name': None}",DC Grocery Cash & Carry,
Z6YMFRANBB3K8,95.0,"Matched brand 'Heineken', product '6/12oz', and size '12 oz'. Alternate name closely aligned.",Heineken 6/12oz,Heineken 6/12oz,HEINKEN 4/6/12 OZ BTL,True,7289000021,"{'id': 'Z6YMFRANBB3K8', 'name': 'Heineken 6/12oz'}",DC Grocery Cash & Carry,
SPXGXPXB3FSBA,95.0,"Matched brand 'Gatorade', product 'Thirst Quencher Fruit Punch', and size '28 fl oz'. Alternate name closely aligned.",Gatorade Thirst Quencher Fruit Punch Natural Flavor 28 Fl Oz,Gato fruit punch 28oz,GATORADE 15/28 OZ,True,GA28,"{'id': 'SPXGXPXB3FSBA', 'name': 'Gatorade Thirst Quencher Fruit Punch Natural Flavor 28 Fl Oz'}",DC Grocery Cash & Carry,
WZN4EQP1PNMF2,85.0,"Matched product 'Sour Patch Kids Soft & Chewy Candy', flavor 'Sour', and size '2 oz'. Alternate name provided additional confirmation.",Sour Patch Kids Soft & Chewy Candy 2 Oz. Bag,sour patch kids 2oz,FIVE GUM SOUR STRBRY FLOOD,True,02200011045,"{'id': 'WZN4EQP1PNMF2', 'name': 'Sour Patch Kids Soft & Chewy Candy 2 Oz. Bag'}",,
60X2V3D85NNY2,95.0,"Matched brand 'Foco', product 'Coconut Juice', and size '17.6 oz'. Alternate name closely aligned.",Foco Juice Coconut,Foco coconut juice 17.6oz,FOCO COCONUT JC 24/17.6 OZ,True,8.85E+12,"{'id': '60X2V3D85NNY2', 'name': 'Foco Juice Coconut'}",DC GROCERY CASH & CARRY,
95AXPCKTAKG20,95.0,"Matched brand 'Gatorade', product 'Fruit Punch', and size '20 oz'. Alternate name closely aligned.",Gatorade Thirst Quencher Fruit Punch Natural Flavor 20 Fl Oz,G fruitpunch 20oz,GATORADE FT PNCH 24/ 20OZ,True,ga20,"{'id': '95AXPCKTAKG20', 'name': 'Gatorade Thirst Quencher Fruit Punch Natural Flavor 20 Fl Oz'}",DC Grocery Cash & Carry,
K6QX3TX1XFM0M,95.0,"Matched brand 'Red Bull', product 'Energy Drink', and size '8.4 fl oz'. Alternate name closely aligned.",Red Bull Energy Drink - 8.4 Fl Oz Can,Red bull 8.4oz,RED BULL ORIG 24/8.4OZ,True,61126999124,"{'id': 'K6QX3TX1XFM0M', 'name': 'Red Bull Energy Drink - 8.4 Fl Oz Can'}",DC Grocery Cash & Carry,
,0.0,No reasonable match found based on the available inventory items.,,,CORE POWER CHOCOLATE MILK SHAKE 12/14 OZ,True,811620022002,,DC Grocery Cash & Carry,
60X2V3D85NNY2,95.0,"Matched brand 'Foco', product 'Coconut Juice', and size '17.6 oz'. Alternate name closely aligned.",Foco Juice Coconut,Foco coconut juice 17.6oz,FOCO COCONUT JC 24/17.6 OZ,True,8851613101583,"{'id': '60X2V3D85NNY2', 'name': 'Foco Juice Coconut'}",DC Grocery Cash & Carry,
14,85.0,"Matched brand 'Prime Hydration', product 'Glowberry', and size '16 oz'. Close match to alternate name.",,,PRIME H GLONBERRY 12/16 OZ,True,81011612183,"{'id': 14, 'name': None}",DC Grocery Cash & Carry,
,0.0,No reasonable match found in the inventory for 'TURKEY HILL FRT PUNCH 8 /64FZ'.,,,TURKEY HILL FRT PUNCH 8 /64FZ,True,2073509416,,DC Grocery Cash & Carry,
5648,95.0,"Matched brand 'Monster', product 'Energy Drink Green', and size '16 oz'. Alternate name closely aligned.",,,MONSTER 24/16 OZ ENERGY ULTRA,True,7084702240,"{'id': 5648, 'name': None}",DC Grocery Cash & Carry,
ZAB45T59V74WT,85.0,"Matched brand 'LaCroix', product 'Coconut', and size '12 fl oz'. Alternate name closely aligned.",LaCroix Orange Sparkling Water 12 - 355 Ml Cans,La Croix orange12pk,LACROIX MANGO 2/12PK,True,1299311203,"{'id': 'ZAB45T59V74WT', 'name': 'LaCroix Orange Sparkling Water 12 - 355 Ml Cans'}",DC Grocery Cash & Carry,
,,,,,MY ALOE ORIGINAL 20/500 ML,False,18809125063025,,DC Grocery Cash & Carry,No candidates found for receipt item: MY ALOE ORIGINAL 20/500 ML
,0.0,No reasonable match found for 'SAN PELLEGRINO 15/750ML' in the available inventory items.,,,SAN PELLEGRINO 15/750ML,True,4150863446,,DC Grocery Cash & Carry,
,0.0,No reasonable match found based on the provided receipt item description.,,,PURE PRE APPLE 12/12OZ,True,O4850001779,,DC Grocery Cash & Carry,
,0.0,No reasonable match found based on product name and size.,,,PURE PRE CRAN 12/12OZ,True,O4850001781,,DC Grocery Cash & Carry,
,0.0,"No reasonable match found based on brand, product name, and size.",,,PURE PRE ORIGINAL 12/12OZ,True,O4850001775,,DC Grocery Cash & Carry,
5648,85.0,"Matched brand 'Monster Energy', product 'Green', and size '16 oz'. Alternate name closely aligned.",,,MONSTER ENERGY ORIGINAL 24/15.5Z,True,5060166692483,"{'id': 5648, 'name': None}",DC Grocery Cash & Carry,
34H1WDSQQA2GT,95.0,"Matched brand 'Coca-Cola', product 'Cherry', and size '20 fl oz'. Alternate name closely aligned.",Coca-Cola Cherry - 20 Fl Oz Bottle,coke cherry 20oz,COKE MEX 24/12OZ BOTTLE,True,4900004422,"{'id': '34H1WDSQQA2GT', 'name': 'Coca-Cola Cherry - 20 Fl Oz Bottle'}",DC Grocery Cash & Carry,
5648,85.0,"Matched brand 'Monster Energy', product 'Green', and size '16 oz'. Alternate name closely related.",,,MONSTER ENERGY ORIGINAL 24/15.5Z,True,7084781123,"{'id': 5648, 'name': None}",DC Grocery Cash & Carry,
JGBCZ94WMXY0Y,85.0,"Matched brand 'Starbucks', product 'Doubleshot Energy Drink Coffee Flavor', and size '15 Fl Oz'. Alternate name aligned closely.",Starbucks Doubleshot Energy Drink Coffee Flavor 15 Fl Oz,SB energy coffee 15oz,STARBUCKS DOUBLE SHOT 12/6.5OZ,True,1200020293,"{'id': 'JGBCZ94WMXY0Y', 'name': 'Starbucks Doubleshot Energy Drink Coffee Flavor 15 Fl Oz'}",DC Grocery Cash & Carry,
YJH6G6DFSTBW4,85.0,"Matched brand 'Starbucks', product 'Frappuccino coffee', and size '13.7 oz'. Alternate name provided a close match.",SB Frappuccino coffee 13.7,SB Frappuccino coffee 13.7,FRAP COF 12/13.7OZ,True,1200000180,"{'id': 'YJH6G6DFSTBW4', 'name': 'SB Frappuccino coffee 13.7'}",DC Grocery Cash & Carry,
Q02VBJZA5FKP2,85.0,"Matched brand 'Fanta', product 'Orange Soda', and size '2 Liters'. Alternate name partially aligned.",Fanta Orange Soda Bottle | 2 Liters,Fanta orange 2L,FANTA ORANGE 8/ 2LTR,True,49000050257,"{'id': 'Q02VBJZA5FKP2', 'name': 'Fanta Orange Soda Bottle | 2 Liters'}",DC Grocery Cash & Carry,
KGWDQVT2YFNJ4,95.0,"Matched brand 'Perrier', product 'Sparkling Mineral Water', and size '16.9oz'. Alternate name closely aligned.",Perrier Sparkling Mineral Water 16.9oz Bottle,perrier water 16.9oz,PERRIER 24/500ML ORIG,True,7478000402,"{'id': 'KGWDQVT2YFNJ4', 'name': 'Perrier Sparkling Mineral Water 16.9oz Bottle'}",DC Grocery Cash & Carry,
,0.0,No reasonable match found for 'SAN PELLEGRINO 24/500ML' in the available inventory items.,,,SAN PELLEGRINO 24/500ML,True,10217015,,DC Grocery Cash & Carry,
,0.0,No reasonable match found based on the provided receipt item description.,,,PRIME H HYDRATION 12/16 OZ,True,81011612506,,DC Grocery Cash & Carry,
,0.0,"No reasonable match found based on brand, product name, and size.",,,JOE TEA CLASSIC LEMONADE 12/18 OZ,True,74323400062,,DC Grocery Cash & Carry,
10,85.0,"Matched brand 'Prime Hydration', product 'Blue Raspberry Sports Drink', and size '16 oz'.",,,PRIME H BLUE POP 12/16 OZ,True,85003560458,"{'id': 10, 'name': None}",DC Grocery Cash & Carry,
,0.0,No reasonable match found based on the provided receipt item description.,,,PRIME H GLOW B 12/16 OZ,True,81011612167,,DC Grocery Cash & Carry,
,0.0,"No reasonable match found based on brand, product name, and size.",,,PRIME H ICE POP 12/16 OZ,True,85004042707,,DC Grocery Cash & Carry,
,0.0,"No reasonable match found based on brand, product name, and size.",,,JOE TEA BERRY LEMONADE 12/18 OZ,True,74323400274,,DC Grocery Cash & Carry,
,0.0,"No reasonable match found based on brand, product name, size, or variant.",,,JOE TEA BLACK CHERRY LEMONADE 12/18 OZ,True,74323400275,,DC Grocery Cash & Carry,
1,85.0,"Matched brand 'Slim Jim', product 'Monster Original', and size '18CT'. No alternate name available.",,,SLIM JIM MONSTER ORIG 18CT,True,2620014061,"{'id': 1, 'name': None}",DC Grocery Cash & Carry,
,0.0,No reasonable match found for 'SNICKERS KING SIZE 3.29OZ 24CT' in the available inventory items.,,,SNICKERS KING SIZE 3.290Z 24CT,True,4000032252,,DC Grocery Cash & Carry,
,0.0,"No reasonable match found based on brand, product name, size, or variant.",,,M&M MILK CHOCOLATE 36CT,True,4000049991,,DC Grocery Cash & Carry,
NV45YY3WDP4BP,85.0,"Matched brand 'Skittles', product 'Sour', and size '1.8 oz'. No exact match found, but closest match based on brand and size.",Skittles,,SKITTLES SOUR 1.8OZ 24CT,True,4000001266,"{'id': 'NV45YY3WDP4BP', 'name': 'Skittles'}",DC Grocery Cash & Carry,
